"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
1,"Sinner","73.67%","235","319","76","28.30%","270","954","76","91.40%","893","977","76","563","76","563","76","","",NA,NA,NA,NA
2,"Zverev","69.73%","258","370","90","22.26%","254","1,141","90","90.18%","1,029","1,141","90","797","90","797","90","","","0.706","0",12,5
3,"Alcaraz","61.85%","167","270","64","30.79%","218","708","64","85.47%","606","709","64","265","64","265","64","","","0.833","1",15,3
4,"Fritz","68.97%","240","348","74","20.00%","180","900","74","88.32%","817","925","74","725","74","725","74","","","0.667","0",10,5
5,"Djokovic","64.84%","142","219","45","28.95%","152","525","45","85.71%","462","539","45","275","45","275","45","","","0.636","0",7,4
6,"Ruud","62.97%","233","370","73","23.79%","201","845","73","83.90%","714","851","73","400","73","400","73","","","0.769","0",10,3
7,"Draper","60.68%","179","295","59","24.83%","183","737","59","84.15%","616","732","59","486","59","486","59","","","0.867","1",13,2
8,"Medvedev","61.03%","260","426","67","27.49%","229","833","67","79.78%","655","821","67","426","67","426","67","","","0.667","0",12,6
9,"Rublev","68.83%","265","385","69","20.42%","184","901","69","86.73%","784","904","69","578","69","578","69","","","0.6","1",9,6
10,"Tsitsipas","68.37%","227","332","66","21.49%","162","754","66","86.31%","662","767","66","421","66","421","66","","","0.667","1",10,5
11,"Miñaur","59.68%","225","377","66","31.57%","257","814","66","81.05%","650","802","66","295","66","295","66","","","0.75","0",15,5
12,"Rune","65.80%","252","383","68","18.93%","162","856","68","84.75%","728","859","68","456","68","456","68","","","0.611","0",11,7
13,"Paul","66.34%","268","404","64","28.55%","211","739","64","81.94%","617","753","64","341","64","341","64","","","0.75","0",12,4
14,"Shelton","72.50%","261","360","67","15.18%","136","896","67","89.06%","806","905","67","619","67","619","67","","","0.667","0",10,5
15,"Dimitrov","67.54%","206","305","64","21.58%","164","760","64","87.23%","676","775","64","487","64","487","64","","","0.5","0",5,5
16,"Musetti","57.85%","221","382","67","21.55%","170","789","67","79.75%","634","795","67","227","67","227","67","","","0.625","0",5,3
17,"Tiafoe","64.37%","224","348","59","18.08%","141","780","59","84.06%","654","778","59","482","59","482","59","","","0.5","0",5,5
18,"Fils","63.51%","235","370","63","20.29%","152","749","63","82.05%","617","752","63","391","63","391","63","","","0.615","0",8,5
19,"Auger-Aliassime","63.95%","165","258","54","20.21%","114","564","54","83.74%","479","572","54","377","54","377","54","","","0.727","2",16,6
20,"Humbert","65.56%","198","302","61","21.76%","156","717","61","85.69%","623","727","61","386","61","386","61","","","0.733","1",11,4
21,"Machac","59.63%","195","327","54","24.33%","154","633","54","79.18%","502","634","54","256","54","256","54","","","0.706","1",12,5
22,"Hurkacz","70.78%","218","308","58","16.39%","127","775","58","88.71%","707","797","58","736","58","736","58","","","0.5","0",7,7
23,"Khachanov","61.80%","199","322","59","21.70%","156","719","59","82.87%","595","718","59","418","59","418","59","","","0.4","0",4,6
24,"Cerundolo","60.20%","245","407","60","24.07%","169","702","60","77.09%","545","707","60","195","60","195","60","","","0.684","0",13,6
25,"Korda","61.39%","159","259","49","22.20%","125","563","49","82.27%","464","564","49","358","49","358","49","","",NA,NA,NA,NA
26,"Popyrin","67.26%","189","281","47","17.89%","107","598","47","84.38%","497","589","47","447","47","447","47","","","0.25","0",2,6
27,"Lehecka","68.53%","172","251","46","17.92%","93","519","46","84.66%","436","515","46","356","46","356","46","","","0.722","1",13,5
28,"Shapovalov","66.26%","161","243","45","19.32%","108","559","45","85.33%","477","559","45","346","45","346","45","","","0.688","1",11,5
29,"Perricard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"532","28","532","28","","","0.6","0",6,4
30,"Berrettini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"366","39","366","39","","","0.5","0",6,6
31,"Tabilo","65.48%","203","310","54","19.44%","124","638","54","83.49%","541","648","54","380","54","380","54","","","0.125","0",1,7
32,"Nakashima","71.14%","175","246","47","16.26%","93","572","47","87.74%","508","579","47","403","47","403","47","","","0.533","0",8,7
33,"Michelsen","60.93%","248","407","64","22.51%","172","764","64","79.54%","618","777","64","303","64","303","64","","","0.611","0",11,7
34,"Griekspoor","63.26%","198","313","55","15.34%","108","704","55","83.78%","594","709","55","479","55","479","55","","","0.647","0",11,6
35,"Arnaldi","60.41%","235","389","52","23.83%","153","642","52","76.27%","495","649","52","366","52","366","52","","","0.538","0",7,6
36,"Báez","61.11%","264","432","56","27.36%","177","647","56","73.67%","470","638","56","116","56","116","56","","","0.643","1",9,5
37,"Thompson","65.90%","259","393","58","19.55%","138","706","58","80.80%","564","698","58","386","58","386","58","","",NA,NA,NA,NA
38,"Sonego","63.02%","167","265","49","13.59%","84","618","49","83.91%","511","609","49","317","49","317","49","","","0.5","0",7,7
39,"Fokina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","40","192","40","","","0.65","0",13,7
40,"Martínez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","40","93","40","","","0.429","0",6,8
41,"Muller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130","37","130","37","","","0.643","1",9,5
42,"Borges","58.81%","197","335","48","21.28%","126","592","48","76.45%","448","586","48","278","48","278","48","","","0.579","0",11,8
43,"Cobolli","65.18%","292","448","60","21.27%","167","785","60","80.08%","627","783","60","362","60","362","60","","","0.222","0",2,7
44,"Etcheverry","64.44%","232","360","57","21.88%","156","713","57","81.87%","578","706","57","373","57","373","57","","","0.467","0",7,8
45,"Giron","60.20%","180","299","53","19.87%","127","639","53","81.23%","515","634","53","263","53","263","53","","","0.667","0",10,5
46,"Monfils","61.37%","170","277","46","19.90%","117","588","46","82.02%","488","595","46","407","46","407","46","","","0.733","1",11,4
47,"Jarry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"357","41","357","41","","","0.375","0",3,5
48,"Kecmanovic","55.42%","179","323","53","19.83%","136","686","53","78.85%","537","681","53","243","53","243","53","","","0.611","1",11,7
49,"Struff","66.45%","200","301","47","18.55%","118","636","47","84.19%","538","639","47","461","47","461","47","","","0.3","0",3,7
50,"Agut","62.20%","181","291","44","21.01%","108","514","44","78.85%","410","520","44","106","44","106","44","","",NA,NA,NA,NA
51,"Bergs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"193","30","193","30","","","0.65","0",13,7
52,"Zhang","55.22%","127","230","52","16.30%","97","595","52","82.60%","489","592","52","373","52","373","52","","","0.308","0",4,9
53,"Baena","59.73%","218","365","51","21.23%","128","603","51","75.66%","457","604","51","145","51","145","51","","","0.385","0",5,8
54,"Mensik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"428","42","428","42","","","0.571","0",8,6
55,"Goffin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"164","33","164","33","","","0.3","0",3,7
56,"Munar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","37","125","37","","","0.583","0",7,5
57,"Halys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249","19","249","19","","","0.455","0",5,6
58,"Shang","63.32%","202","319","46","19.45%","114","586","46","79.93%","466","583","46","210","46","210","46","","",NA,NA,NA,NA
59,"Marozsan","56.08%","189","337","50","21.39%","126","589","50","75.21%","449","597","50","228","50","228","50","","","0.533","0",8,7
60,"Fonseca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","15","68","15","","","0.636","1",7,4
61,"Darderi","61.54%","208","338","50","21.44%","125","583","50","77.97%","460","590","50","279","50","279","50","","","0.125","0",1,7
